Filename,RelativePath,FileSize_KB,PageCount,WordCount_Est,TextDensity_CharPerPage,IsLoadBearing,SupportedQueries
Key Risk Indicator.pdf,Key Risk Indicator.pdf,1935.96,12,792,443.2,False,
mock intenal audit step guide.pdf,mock intenal audit step guide.pdf,270.84,3,517,1535.7,False,
Next Steps as GRC Program Lead After Establishing.pdf,Next Steps as GRC Program Lead After Establishing.pdf,286.86,4,591,1063.0,False,
Nist Csf 2.0.pdf,Nist Csf 2.0.pdf,1278.55,67,19649,2206.3,True,3
Nist Guide to RA.pdf,Nist Guide to RA.pdf,2207.59,95,42014,3461.1,False,
NIST.SP.800-171r2[1].pdf,NIST.SP.800-171r2[1].pdf,1353.66,114,36332,2658.7,False,
NIST_Incident_Response.pdf,NIST_Incident_Response.pdf,1239.51,48,14229,2239.4,False,
Notes from Study +.pdf,Notes from Study +.pdf,24661.25,605,147900,1657.1,True,"3,13,17,25,34,35,39,47"
One trust AI Report.pdf,One trust AI Report.pdf,3127.1,3,612,1497.3,False,
original.pdf,original.pdf,2037.1,15,1965,866.3,False,
Owasp AI Exchange.pdf,Owasp AI Exchange.pdf,293.73,-1,0,0,False,
Owasp Gen AI security project.pdf,Owasp Gen AI security project.pdf,3682.71,7,0,0.9,False,
Primacy playbook_AI_buisness_strategy_innovation_vol_1.pdf,Primacy playbook_AI_buisness_strategy_innovation_vol_1.pdf,7099.96,9,4816,2156.2,False,
Public_Records_Your_Key_to_Enhanced_Security_Intelligence.pdf,Public_Records_Your_Key_to_Enhanced_Security_Intelligence.pdf,2906.88,12,3117,1782.7,False,
Reporting_to_the_Board_RISKS_1760961115.pdf,Reporting_to_the_Board_RISKS_1760961115.pdf,3272.24,25,5216,1282.2,False,
Risk Appetite Explained Guide.pdf,Risk Appetite Explained Guide.pdf,3955.67,36,13956,2611.1,True,37
Risk Management Methodology.pdf,Risk Management Methodology.pdf,107.02,13,2025,1099.5,False,
risk_analysis.pdf,risk_analysis.pdf,1020.52,36,5876,1206.4,False,
Risk_Heat_Map_1755018474.pdf,Risk_Heat_Map_1755018474.pdf,5953.27,11,1812,1091.9,True,47
Risk_Management.pdf,Risk_Management.pdf,917.85,37,10738,1914.2,False,
Risk_Management_and_Audit_1760838490.pdf,Risk_Management_and_Audit_1760838490.pdf,9416.91,3,345,827.3,False,
Risk_Management_Framework_1756214743.pdf,Risk_Management_Framework_1756214743.pdf,559.07,36,7703,1431.5,False,
Risk_Management_Process.pdf,Risk_Management_Process.pdf,638.89,13,6026,2999.2,False,
RMF_framework_Doc.pdf,RMF_framework_Doc.pdf,809.61,21,7487,2416.3,False,
role of a regulatroy compliance and policy analyst.pdf,role of a regulatroy compliance and policy analyst.pdf,249.26,2,512,1990.5,False,
SANS_SSA_-_Tip_Sheet_-_PCI_DSS_-_2024_-_Digital.pdf,SANS_SSA_-_Tip_Sheet_-_PCI_DSS_-_2024_-_Digital.pdf,974.29,4,1047,1763.8,False,
Security plus study guide.pdf,Security plus study guide.pdf,36113.18,176,40188,1439.2,True,31
security PLus study Notes SY701.pdf,security PLus study Notes SY701.pdf,607.56,80,15120,1511.6,False,
ServiceNow TPRM.pdf,ServiceNow TPRM.pdf,260.05,5,778,1216.6,False,
Sox Internal Controls Implementation.pdf,Sox Internal Controls Implementation.pdf,0.76,-1,0,0,False,
SOX_CONTROLS_VS_RISK_MANAGEMENT.pdf,SOX_CONTROLS_VS_RISK_MANAGEMENT.pdf,20.72,2,450,1603.5,False,
Swot analaysis.pdf,Swot analaysis.pdf,176.96,8,1166,1086.1,False,
Tear down that wall Mr CISO.pdf,Tear down that wall Mr CISO.pdf,6248.67,5,349,304.0,False,
the-modern-analysts-guide-to-preparing-ai-ready-data-en.pdf,the-modern-analysts-guide-to-preparing-ai-ready-data-en.pdf,36200.29,15,2906,1271.7,True,43
The_Six_Mistakes_Executives_Make_in_Risk_Management.pdf,The_Six_Mistakes_Executives_Make_in_Risk_Management.pdf,180.88,6,2776,2921.7,False,
The_TPRM_Lifecycle.pdf,The_TPRM_Lifecycle.pdf,796.5,7,118,106.6,False,
Third_party_information_security_assessment_checklist.pdf,Third_party_information_security_assessment_checklist.pdf,875.3,13,2663,1496.0,True,28
Third_party_info_checklist.pdf,Third_party_info_checklist.pdf,782.48,13,2663,1496.0,True,28
Third_party_Risk Management Guide CFC_handbook.pdf,Third_party_Risk Management Guide CFC_handbook.pdf,5717.98,118,36378,2265.3,False,
Threat_Modeling_Revisited_1760838433.pdf,Threat_Modeling_Revisited_1760838433.pdf,617.99,15,5783,2770.1,False,
Top Frameworks to know.pdf,Top Frameworks to know.pdf,165.11,17,756,319.5,False,
Tricentis-eBook_How-AI-transforms-the-role-of-testing.pdf,Tricentis-eBook_How-AI-transforms-the-role-of-testing.pdf,1762.33,13,1502,713.6,False,
types of Risk Assessment.pdf,types of Risk Assessment.pdf,3402.5,10,887,608.0,False,
understanding Key risk indicators(KRI).pdf,understanding Key risk indicators(KRI).pdf,6964.68,8,374,268.0,False,
Understanding_Risk_Registers.pdf,Understanding_Risk_Registers.pdf,2.91,-1,0,0,False,
Washingtech cloud security .pdf,Washingtech cloud security .pdf,1474.72,9,1106,880.1,False,
White_paper_Trust_nothing_Authenticate_and_authorize_everything.pdf,White_paper_Trust_nothing_Authenticate_and_authorize_everything.pdf,9432.61,8,906,844.9,False,
Why_ISO_27001_27001_Clause_7_is_important_.pdf,Why_ISO_27001_27001_Clause_7_is_important_.pdf,45571.77,8,0,0.9,False,
Zero_to_GRC_Hero_1769394998.pdf,Zero_to_GRC_Hero_1769394998.pdf,1355.67,18,2607,1034.3,False,
